Product Name,Brand Name,Rating,Reviews,Sentiment,Topic
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,2,real y bad it is slowly function wrong,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,2,slow phone not much space didnt serve me well,Negative,Screen Issues
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,4,its a good phone but did not last long just fell and got damaged have no warranty,Negative,Performance
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,4,muy bueno,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,4,delivered as promised phoes in great condition im satisfied,Negative,Performance
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,5,chevere,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,1,not functioning accurately some time not screen not opening or taking to much time to open screen very compact to for key board typing not recommended,Negative,Screen Issues
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,3,battery life is very poor for a phone especially for one that is deemed as a travel phone with dual sims i took this phone with me to europe and in general it operated ok but i found the volume from the phone to be inadequate compared to my zte valet that i use at home the battery is inadequate as i found my cellphone dying before the end of each day despite charging it up fully at night when youre traveling you need a phone that will stay powered up to assist you with gps mapping direction apps etc i kept powering off to save power but it seems if you run a google maps navigation app it will suck the battery power pretty quick not good for travel unless youre always near a power source to keep topping off the battery which can add to potential memory issues i returned it,Negative,Battery Life
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,5,muy buen producto,Negative,Performance
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,1,i had a problem with the connection i could not make calls it kept telling me that the phone was not registered because the phone was international phone sumsung company did not wantto help me i really like the phone but i had bad experience with it,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,5,de acuerdo con lo ofrecido por vendedor tiempo de entrega lo ofrecido muy bien lo recomiento,Negative,Performance
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,5,exellent phone and not expensif take nice picture perfdct for my use,Negative,Camera Quality
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,1,unless you are looking for a phone for the grand parents or the babysitter this phone is useless,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,1,i bought this phone 2 months ago and it doesnt work at all already it got no water damager nor mishandling,Negative,Performance
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,5,muy bueno,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,5,efficient and great price it is smaller than i expected it to be but it is perfect for my needs i am planning on traveling to two european countries this summer and i will get two sim cards i already put one card on spains and it works perfect it may not take the best pictures with the secondary camera but it will get the job done in an emergency it also has gps and hotspot wifi which i was very interested in getting just in case the need arisesother reviewers have mentioned that the memory is pretty low i purchased an 8gb sd card and now it has more memory for music and picturesmine came with the us plug charger and earphones the instructions though are in a different language except the very basic ones that come in english as well,Negative,Performance
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,5,muy bueno,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,3,this is an okay photo i was disappointed with the camera resolution and i thought the screen might have been bigger but it can pass,Negative,Camera Quality
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,5,i received it very soon in perfect condictions,Negative,Performance
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,3,this phone works fine but i bought it solely for the bluetooth function i use it to send music to my motorcycle helmet this phone also doubles as my emergency phone works great for these situationsthe typing keys are so small its hard to dial phone numbers or to write texting messages without retyping many of the keys i would recommend using at least a 5 screen as your main phone like my wifes galaxy 4 phonei do like the fact that i am able to insert an external minisim card into this phone without opening the back of the phone connects to my laptop via a usb cord very easily to manually organize all my music filesas an emergency phone this phone is fine as your main phone i would not recommend it,Negative,Screen Issues
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,5,great phone for the cost have been using it for about a month and no problems so far i dont game or use it for music only issue is finding case for it,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,5,this samsung galaxy s duos ii s7582 was a great choice and i am very happy with iti needed a dual sim phone for my daughter while she is traveling across multiple continents so i can stay in contact with her and she can use a local prepaid sim card i only had the phone a few days before sending it out again so this review is limited to that she had a gts7562 and was happy with it until it was stolen out of her hand in india travelers bewarehelpful infocame with android 42 the phone updated to 422 as soon as i connected it to the internetthis phone has slots for two of the larger sim cards – not the minisimmy us carriers sim card att plugged in and worked fine for both voice and data phone calls and voice quality worked fine i did not test the data speed on att but it seemed fine google maps worked great using gps and att datathis is the same size as the galaxy mini phones – it just has dual sim slotsthis phone came in a small factory sealed samsung box with the phone plastic back battery 1500mah usba to miniusb cable 18 inch “in ear” style earphones with microphone and an eu plug wall chargerprosunlocked from samsung designed for international use – so it should work with most any wmasim carrier in the worldgreat size for travel big enough for the android experience slightly larger screen than an iphone but not nearly the size of the more expensive 5 inch phonesgreat screen very easy to read and worked well even in sunlightphone worked great very responsive first power up screen asked for the language with a lot of choices wifi connected first time att sim card worked first timeprice – paid 158usd with free overnight shipping from primeconsbattery life though i did not get much of a chance to test this phone all android phones smart phones in general seem to lose their charge in less than a day plan for itonly 4gb internal flashminor wall charger is an eu plug but i have many us chargers and it is an international phonei suggest orderinghaving the following for this phone1 case – i got the 7usd amzer amz95155 tpu case and it works fine for basic protection2 microsd card – the phone had over 15gb available but for travel taking pictures storing musicvideo i got the sandisk sdsdqu016gaffpa 16gb microsd card for 13usd3 additional battery or portable usb charger4 international ac adapter or microusb power source for chargingover all i highly recommend this phone and i would buy another one if neededone last note this order was fulfilled by amazon prime and the seller was “asavings” – kudos to amazon and asavings for a perfect transaction,Negative,Performance
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,5,for the price its all u need it does everything that i need if u need more get a tablet but for a phone its more then enough for me,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,5,hi i was just wondering if anyone knows how i can make this into a prepaid phone i tried to activate this phone with the straight talk activation kit they said it wasnt compatible does anyone know what the carrier is for this phone so i can get it activated,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,4,it is a good phone for its price due to lack of a good instructions operation manual i have not been able to use its full potentialas it is very difficult for the first time smart phone user to operate it can some body help me as where to find some help,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,5,i have made several purchases in relation to this phonei recommendandroid operating system hasmay be put up to 16gb memoryit is fastcomfortableuser friendly,Negative,Performance
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,5,samsung galaxy s 2 duosthe samsung galaxy s 2 is a simple duos android smartphone with dual sim support with 4inch screen at 480 x 800 pixels 5 megapixel camera dualcore processor at 12ghz 768mb of ram 4gb of internal storage and android 42 jelly beaneasy access connection through wifi and 3g up,Negative,Camera Quality
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,2,not working good at all,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,1,i thought that i liked this phone i am an att customer and didnt want to sign up for a new contract nor did i want to pay three times what a phone is worth to get it from them all good until i went to actually try to link this to our data plan basically the way that this is made the best i can get with this phone together with atts network is 2g i am not willing to pay a monthly data fee for 2g if that isnt enough to discourage you try this we went to the chicago blues festival this past weekend and i had no phone service my husband called them and was told that we could go to suchandsuch address there near our hotel to deal with it but i didnt really want to waste time at 375 per night trying to get the phone to work,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,1,it was great for about 7 months then problems showed up battery swelled up so i cant use the phone without it dying on me within 10 mins the firmware is not upgradeable i already knew this kind of unresponsive touch screen was expecting great things from samsung its a budget phone so maybe i shouldnt expect a lot,Negative,Battery Life
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,2,the middle button is broken already and i cant charge it anymore,Negative,Performance
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,1,buy the phone that was not what i reach my destination i bought the 7582 and came als model 7562 i expect a prompt solution,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,4,the phone worked great and connected to tmobile by simply inserting the sim had to return due to a defect with the back button would have liked a replacement of the same model,Negative,Performance
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,3,i purchased this item because the specs was exactly the one that i was looking for and the price was great for the features it arrived ontime everything was as described but the battery it only last for few hours during the time that i had the phone i could not talk more than half an hour without the need to reconnect it to charger initially i thought it might gets better with time but i was wrong i returned it after a weekthey refund me for the full price that i paid but i had to pay for the return shipment this is not fair because it was their fault is was defective,Negative,Battery Life
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,5,there is nothing i dislike about the phone its a very good thing and the price is great too strongly recommended for those with weaker pockets,Negative,Performance
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,5,hello this came to me as i expected perfect recommend this item and this shop will apologize for my english is not good,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,5,una maravilla,Negative,Performance
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,3,i knew i was buying a twogenerationsold phone when i got it expecting some slow performanceand i got it i didnt however think a phone with so long to mature would be so buggy between the unreliability the constant nagware asking me to download crap from samsung the dumb chirpy alerts and the price i found the whole thing a mediocre value even for a throwaway international dualsim phone,Negative,Performance
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,1,i received a fake phone,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,2,me siento engañado porque en la caja y presentacion dice que levanta h mas y no lo levantasolo hasta 3g y sin embargo jamaas he visto que me alla levantado 3g,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,3,great phone i gave it 3 stars because you need and adapter to put in the micro sim chip also it should have more memory accessing the internet is very slow my samsung s4 is twice as fast with no delay accessing the internet,Negative,Performance
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,5,execelente producto me llegaron en buen estado,Negative,Performance
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,4,bought this phone i liked every thing except the data download speed was very slow and eventually stopped contacted the seller a couple of times with no response from their side after posting a bad review they contacted me and refunded the full amount of my purchase price even after over a month having the phone in my position i am satisfied,Negative,Performance
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,4,its a great phone very confortable two line in one movil with android system,Negative,Performance
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,1,i bought this phone for my boyfriend when it arrived the charger didnt work he had to buy a new one then the internet 3g didnt work either so he got frustrated and returned it,Negative,Screen Issues
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,4,so far this phone seems excellent for the price it was new and in the box the battery needed to be put in and the back cover pops off easily but it does seem flimsy my smart phone experience is all with iphones and this cannot compete but i bought it to have an unlocked phone for foreign sim cards when we travel and it will serve the purpose well do not have the sim card yet but even without it was able to charge the battery and set up the phone using wifi create a samsung account update the software which was not the latest version and add my own email account the charger plug is european with an american adapter included it also comes with a usb to micro cord which worked fine with my iphone plugsupdate i went to the samsungcom website to download the full user manual and could not find it after a lot of effort i discovered the problem the phone is manufactured to be sold in africa which i would have known if i had read the warranty information that came in the box the manual is accessible on the wwwsamsungcomafricaen the warranty documents suggest the warranty would only be valid in africa,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,4,processor is not fast enough upon the first month of use with almost no additional apps and mainly used for sms and wa rather than calls it remains charged for 2 or 3 days better than the average cells,Negative,Battery Life
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,4,love the phone works perfectly right away sleek enough and light weight i did contact the seller to confirm that the phone would come with charger data cable and headset however the package had no headset and the charger was incomplete as it had no attachment to fit into the wall socket i did email them advising them i am awaiting a response and best believe i will come back to let you guys know but other than that the phone seems great so far i will update accordingly 4 stars so far,Negative,Performance
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,1,1 star because theres no 0 the phone was defective it kept rebooting i ordered a new phone but obviously i received a refurbished one,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,1,if you want a real samsung phone i suggest you to read this reviewfirst of all i have nothing against samsung smartphonesi received this phone yesterday i put its battery and connected to charge it everything was ok suddenly i realize that the phone stopped charging and instead it was draining the battery even connected so i thought that it was some battery issuesthe first app i tried with this phone was the camera but it displayed camera failed i downloaded some third party apps of cameras and still it didnt work at all at this point you should be able to understand my frustration i mean battery issues and camera not working but i decided to give it a chancei downloaded a game from the store the first temple run this game is old and it doesnt require a lot of ram or other requirementes and still it was unplayable extremely lagging and freezing the game crashed and returned to the main phone screenoh and i forgot to mention that in order to install an app from the store i had to download them twice because a weird error didnt allow me to install themthis phone is supposed to have 768 mb of ram but it shows 280 insteadthen i connected the phone to my laptop and rather showing some references to samsung it displayed thislenovo72wejb3soon i realized what was happening this is not a real samsung phone this is a fake chinese versionall made sense extremely slow battery issues camera not working installation problems etcif you want a pretty phone just for call and sms this is for you and you are maybe the dumbest person in the planet because there are better options for simple phonesi am really surprised on how much this fake version look alike to the original phoneit comes with earphones an usb cable a damn usb travel adapter for wall charging and a stupid quick starter guide with references to some weird appsdo not buy this phone i cant even understand why it has good reviews and 5 star ratings,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,5,gracias,Negative,Performance
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,3,its a bit slow for more than 2 apps running,Negative,Performance
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,2,i bought this phone in october 2014 so just over a year ago based on the great reviews but my experience has not been that good i almost wonder if mine is defective my biggest complaint is the wireless radio in this phone the wireless will just stop responding for no reason and apps like yelp and waze give connection errors very frustrating when your already on the road and you gps cant locate network the gps keeps working to show location but the app can no longer route yes ive tried several apps and they all lose network contact whenever i understand cell reception is part of this i have att but when i have 4 bars and yelp cant contact a server somethings wrong the only solution ive found is to repower the phone works fine after that for a bit same issue when transitioning from wifi to cell network leaving home getting in car it may or may not switch over again a restart may be necessary the other issue i have is the processor i know its just a phone but its really slow when loading apps ive bought a new phone just because i cant deal with the frustration of this one i guess for an unlocked dual sim phone youre just not going to get much for 150,Negative,Performance
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,1,after five months the phone did not work my wife is angry as she used only 4 months please do not buy i doubt these stuff is fake,Negative,Performance
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,2,ive been using this phone for a few months now bought it in november 2014 mainly to enjoy the benefits of 2 different carriers available to me the phone was working fine until recently when for some reason there is little sound coming from it little sound meaning i can no longer hear incoming calls text or whatsapp messages no sound when the alarm clock goes off no sound from the music player no sound when the phone speaker is on the phone has not dropped not has it had a liquid bath it just happened all of a sudden with no explanation i love samsung products but this problem has me a little baffled,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,1,screen stopped working in 4 days wont turn on at all after a week,Negative,Screen Issues
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,5,exlenete,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,3,u get what u pay for my phone worked and i managed but it had freezing and crazy touch response issues from its first day,Negative,Screen Issues
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,5,this is a really cool phone its on the smaller side which makes it more easily pocketsized but the screen is a little smaller to read i got this because it is unlocked for international cell networks i had a sim from another country that i placed inside before i arrived after following the telcos instructions in advancethis phone just connected to their network as soon as the flight attendants said we could turn on our phones this was very useful for letting my incountry connections know i made itlong before i got through passport control and customs,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,2,it arrived with some screen issues couldnt solve it nor return it it was a waste of money,Negative,Screen Issues
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,1,i got a defective phone it stopped working within a year the phone is not charging and ran out of charge i tried other charger and other battery it was of no help i believe the motherboard is not workingi called amazon they said they cannot provide any support and asked me to contact the seller or samsung samsung customer service representative said that all samsung devices have 1 year warranty but since he can not recognize the imei number of my phone in samsung system he cannot provide any support and asked me to call the seller instead when i called the seller wireless experts inc they said that there is no warranty on this phone and will not provide any support beyond 30 days 90 days in some cases after purchase even if the phone is defectivei am stuck with a defective phone and have to trash it i am extremely disappointed with the customer service i feel that i have wasted my money and timeproduct detailsname samsung galaxy s duos ii dual sim factory unlocked international versionmodel gts7582color black,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,5,great phone only drawback is having to get online to access a user manual phone only came with usa charger would like to have had international charger as well my other similar phone came with both chargers,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,5,purchased my phone and received it on timeit works great i use it for us and international callsi would suggest it as purchase to anyone on a median budgetit does what its supposed too,Negative,Performance
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,4,delivery was very quick no problem yet with the phone,Negative,Performance
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,2,i so wanted this phone to work for me the price was great and it said it was a 3g phone but once i got it connected to the tmobile usa network the 3g would never connect i took it into the tmobile store and the samsung rep there checked out the specs and said the hardware did not connect with their network the fastest speed i would every be able to get would be 2g which was so slow many things never loaded the phone was made in germany so perhaps it can connect to a 3g network there also be aware that the power adapter wall unit comes with a european plug and doesnt fit in american outlets without an adapter,Negative,Performance
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,2,im not totally pleased not bring headphones and the charger does not work for the us is charger for europe i hope it does not burn as they use different power to charge if they change the 2 chargers for americans i can give them the highest score otherwise no,Negative,Overheating
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,5,perfect phone to own if you travel around the world great contact with home when in germany i could call home us for 5 cents a minute not bad first sim card which i bought in germany cost me 1500 us and i got 1100 credit the place i bought it set it all up for me and showed me how to check my balance i did not pay for internet usage as i had another means to do that if need be you can add to the card only thing with a sim card they expire after six months so dont but lots of time thinking you can use it anywhere else in the worldyou cant i wont leave home without it,Negative,Performance
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,1,this phone is a scam do not buy it and is not original is very bad,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,1,this mobile is not in a good working condition completely dissatisfied the mobile turns off automatically very often while using,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,3,it was not exactly as described it arrived with no headphones or a mains charger plug,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,4,first class the problem is the charger it is european and only you can upload a pc,Negative,Performance
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,1,it freeze frequently do not work well,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,5,exellent,Negative,Performance
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,4,nice phone but i returned it due to not being able to receive 3g data on att network in my area edge2 only frequencies did not match if that had worked i certainly would have kept the phone screen looked great responsive,Negative,Screen Issues
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,2,the phone was okay but battery wasnt last long i had to charge the phone very frequently to make it work,Negative,Battery Life
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,1,it doesnt keep the power more than 6 hours without operating,Negative,Battery Life
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,5,the advantages of android with the convenience of two phone lines ideal to use oversesas keeping your home sim card adding a local one to save roaming money,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,3,i havent been able to use it yet the phone and instructions are in what looks like russian i have to figure out how to change it to english,Negative,Screen Issues
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,5,great phone for its price samsung always knocks it out of the park,Negative,Performance
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,4,simply puta great phone for the price best thing is that its unlocked so i can use any carrier i wishand since their not all the same make sure you study all the options and not choose the first one that comes along,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,3,it is for people who dont use apps you can use it only for email and normal phone functions you can forget about the smart and samsung brand makes it expensive and runs out of internal memory too quickly,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,3,rapid delivery but the product works so slowly and life time of the battery is so low it is need continuous charging,Negative,Battery Life
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,2,mine lasted 11 months before the earpiece stopped working the phone was always treated with kid gloves may still be under warranty but not worth the hassle of shipping it in im replacing it with an unlocked motorola e for less than 70 hopefully it will last at least through the warranty period,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,1,this phone refurbish no working,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,1,this phone does not meet expectations it is very slow and freezes frequently i have no problem with another phone that i purchased in the publication it is reported that has 756mb of ram and 256mb ram is really only feel cheated not what you buy i think the problem with the seller,Negative,Performance
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,5,hello this came to me as i expected perfect recommend this item and this shop will apologize for my english is not good,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,5,buenisimoooooo,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,1,the cellphone i received is blocked it does not work i already tried several sim cards on it and nothing is broken i do not reccomend it,Negative,Performance
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,1,stay away plz it was fine for a couple months before the signal strength starts screwing up now i barely get a signal on this piece of crap anymore neither sim card port gives me a signal strength i just confirm today that its the phone after inserting my sim card in the previous phone i had before this everything was perfect and my signal strength is full and im able to make calls again anywhere without moving around every corner to get a good signal strength to make a calls,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,5,bought it for my husband its a nice little phone you definitely need to get a sd card though,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,1,the phone hanged repeatedly from first day itself even after reeboting and removing battery the mobile never came up google search did not open for a single time,Negative,Battery Life
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,5,i like it but no good for my wireless provider i dii not have no choice to return the phone thank for my refum,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,1,bad bad,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,1,bought this same phone from amazoncom earlier last year and it worked just fine but unfortunately i misplaced it so i decided to get another one since the first one worked well unfortunately i must have received a refurbished one or totally defective one after setting it up some of the icons appeared in english and others appeared in chinese the phone log is stuck from a week ago and wont display current calls and sms the fully charged battery lasts only for like 30 mins and after it has been recharged the settings reverts back to the factory mode so the date time etc need to be reset again the applications are so slow to display and some dont even blinktotal waste of money unfortunately i started using it after the return window closed so there is not much i can do about it very unfortunate experience with amazon,Negative,Battery Life
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,1,i dont like this one at all i think i should buy an iphone 5,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,1,is not genuine korean imitation,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,1,dreadful phonehome button never worked the screen was very unresponsive so couldnt answer calls easily after nine months the phone failed it started running through test automatically and called 911 emergency which brought the police round i complained to the supplier tg networks but they would do nothing about it ill never buy electricals from amazon again better to buy locally where you can get refunds,Negative,Screen Issues
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,5,has both front and back camera and comes with a samsung earphone,Negative,Camera Quality
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,4,muy bueno,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,1,no work internet in venezuela is bad for internet can you help me please,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,3,it does the job but using the camera or the internet will eat up your minutes and the battery will drain as fast the camera has a delay and so the pictures dont come out good if you want a phone just for texting and occasional calling get a basic phone especially if youre going to use it in the phils i was only there for a week but i must have spent over a thousand pesos for loads for reasons i cant understand i barely even used it to call just texting i also noticed that if i use the internet my minutes disappeared like crazy it could have been too that i was a victim of loadsnatching which is very rampant in the phils i found out about it too late,Negative,Battery Life
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,5,as expected,Negative,Performance
